cc,rir,asn_count,valid_pct_now,total_now,valid_pct_now_v6,total_now_v6,valid_pct_3mo,delta_3mo,valid_pct_3mo_v6,delta_3mo_v6,valid_pct_6mo,delta_6mo,valid_pct_6mo_v6,delta_6mo_v6,valid_pct_12mo,delta_12mo,valid_pct_12mo_v6,delta_12mo_v6,valid_pct_24mo,delta_24mo,valid_pct_24mo_v6,delta_24mo_v6
MP,apnic,2,94.4,54,15.0,20,94.6,-0.2,19.0,-4.0,100.0,-5.6,19.0,-4.0,98.2,-3.8,22.7,-7.7,95.2,-0.8,5.6,9.4
MQ,ripencc,8,92.5,120,100.0,11,92.4,0.1,100.0,0.0,91.1,1.4,100.0,0.0,90.8,1.7,100.0,0.0,90.2,2.3,100.0,0.0
MR,afrinic,7,7.9,127,16.7,18,9.3,-1.4,20.0,-3.3,8.1,-0.2,16.7,0.0,6.6,1.3,6.2,10.5,4.8,3.1,40.0,-23.3
MS,arin,1,25.0,4,66.7,3,25.0,0.0,75.0,-8.3,25.0,0.0,75.0,-8.3,0.0,25.0,66.7,0.0,7.1,17.9,50.0,16.7
MT,ripencc,54,53.6,636,43.1,58,51.1,2.5,49.1,-6.0,25.6,28.0,40.7,2.4,27.5,26.1,47.2,-4.1,17.5,36.1,38.2,4.9
MU,afrinic,41,81.3,675,2.9,761,82.6,-1.3,3.0,-0.1,82.6,-1.3,1.8,1.1,78.6,2.7,1.5,1.4,78.4,2.9,44.6,-41.7
MV,apnic,19,98.8,253,97.4,38,98.8,0.0,97.6,-0.2,98.9,-0.1,97.6,-0.2,98.9,-0.1,98.0,-0.6,98.2,0.6,100.0,-2.6
MW,afrinic,30,78.0,436,77.8,27,78.2,-0.2,80.8,-3.0,75.4,2.6,78.3,-0.5,76.7,1.3,72.7,5.1,72.4,5.6,44.0,33.8
MX,lacnic,646,76.0,28802,63.3,10392,44.2,31.8,59.3,4.0,42.0,34.0,57.2,6.1,41.0,35.0,59.1,4.2,35.4,40.6,73.8,-10.5
MY,apnic,405,88.1,4170,53.6,931,82.7,5.4,45.5,8.1,81.5,6.6,45.0,8.6,85.4,2.7,44.1,9.5,84.0,4.1,40.1,13.5
MZ,afrinic,31,15.9,917,47.8,23,15.2,0.7,37.0,10.8,16.0,-0.1,34.6,13.2,14.3,1.6,50.0,-2.2,22.2,-6.3,81.2,-33.4
NA,afrinic,18,86.2,356,80.0,10,85.8,0.4,87.5,-7.5,65.4,20.8,87.5,-7.5,59.7,26.5,81.0,-1.0,63.6,22.6,78.3,1.7
NC,apnic,19,100.0,62,95.7,23,98.5,1.5,95.8,-0.1,98.4,1.6,100.0,-4.3,98.4,1.6,95.5,0.2,95.0,5.0,95.0,0.7
NE,afrinic,7,17.8,129,100.0,8,17.6,0.2,100.0,0.0,19.2,-1.4,100.0,0.0,15.3,2.5,87.5,12.5,17.4,0.4,83.3,16.7
NF,apnic,2,0.0,2,100.0,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,50.0,-50.0,100.0,0.0
NG,afrinic,266,59.0,3824,41.7,259,42.8,16.2,39.4,2.3,44.1,14.9,49.0,-7.3,48.8,10.2,51.3,-9.6,46.3,12.7,50.8,-9.1
NI,lacnic,30,77.0,496,98.7,77,78.7,-1.7,98.7,0.0,78.1,-1.1,82.6,16.1,73.2,3.8,98.7,0.0,66.3,10.7,98.7,0.0
NL,ripencc,1625,81.0,15904,79.8,5344,77.7,3.3,78.5,1.3,76.4,4.6,75.5,4.3,74.8,6.2,74.4,5.4,64.7,16.3,71.1,8.7
NO,ripencc,400,72.5,2014,77.3,556,70.8,1.7,75.9,1.4,68.0,4.5,76.7,0.6,66.1,6.4,75.9,1.4,60.0,12.5,69.5,7.8
NP,apnic,209,98.2,1219,92.3,413,97.2,1.0,93.6,-1.3,97.6,0.6,95.9,-3.6,95.0,3.2,95.6,-3.3,96.6,1.6,97.1,-4.8
NR,apnic,5,92.3,13,100.0,4,92.9,-0.6,100.0,0.0,92.9,-0.6,100.0,0.0,93.3,-1.0,100.0,0.0,92.9,-0.6,100.0,0.0
NU,apnic,1,100.0,2,100.0,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
NZ,apnic,704,61.7,3469,72.8,696,60.0,1.7,70.7,2.1,58.4,3.3,69.9,2.9,58.3,3.4,70.3,2.5,55.0,6.7,68.3,4.5
OM,ripencc,26,97.8,1478,50.7,491,96.8,1.0,51.2,-0.5,96.4,1.4,51.7,-1.0,79.4,18.4,34.8,15.9,87.9,9.9,60.4,-9.7
PA,lacnic,125,93.0,2393,92.0,199,92.8,0.2,91.3,0.7,92.3,0.7,92.9,-0.9,92.7,0.3,89.3,2.7,93.6,-0.6,84.7,7.3
PE,lacnic,223,36.6,13373,45.9,1931,38.3,-1.7,45.0,0.9,38.2,-1.6,44.7,1.2,60.5,-23.9,41.9,4.0,52.2,-15.6,44.8,1.1
PF,apnic,6,17.3,266,50.0,12,16.6,0.7,50.0,0.0,15.4,1.9,36.4,13.6,16.2,1.1,46.2,3.8,16.1,1.2,30.0,20.0
PG,apnic,39,62.3,220,100.0,11,62.3,0.0,100.0,0.0,62.1,0.2,100.0,0.0,61.5,0.8,100.0,0.0,52.2,10.1,100.0,0.0
PH,apnic,669,91.1,6631,73.3,1317,90.1,1.0,77.3,-4.0,87.3,3.8,64.0,9.3,89.4,1.7,65.8,7.5,86.7,4.4,57.7,15.6
PK,apnic,468,92.4,7013,91.1,2006,91.9,0.5,95.9,-4.8,92.3,0.1,96.9,-5.8,15.4,77.0,85.1,6.0,89.3,3.1,97.5,-6.4
PL,ripencc,2466,70.6,9711,82.4,1232,68.9,1.7,75.9,6.5,67.7,2.9,70.9,11.5,65.2,5.4,66.2,16.2,57.8,12.8,63.0,19.4
PM,arin,1,100.0,22,100.0,2,95.8,4.2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,95.8,4.2,100.0,0.0
PR,arin,123,25.7,1643,28.9,211,24.0,1.7,47.1,-18.2,23.4,2.3,44.4,-15.5,21.2,4.5,42.0,-13.1,19.7,6.0,39.7,-10.8
PS,ripencc,69,91.9,1284,86.4,22,91.8,0.1,95.0,-8.6,91.8,0.1,95.2,-8.8,84.4,7.5,84.2,2.2,78.9,13.0,86.4,0.0
PT,ripencc,165,85.3,1153,94.0,215,85.3,0.0,92.9,1.1,82.7,2.6,93.6,0.4,81.7,3.6,93.0,1.0,77.6,7.7,87.3,6.7
PW,apnic,4,64.7,17,100.0,3,85.7,-21.0,100.0,0.0,80.0,-15.3,100.0,0.0,66.7,-2.0,100.0,0.0,63.6,1.1,100.0,0.0
PY,lacnic,115,75.6,1562,56.9,427,76.1,-0.5,58.2,-1.3,76.5,-0.9,57.2,-0.3,83.0,-7.4,56.4,0.5,83.0,-7.4,46.3,10.6
QA,ripencc,32,86.1,423,98.9,886,84.7,1.4,98.4,0.5,85.2,0.9,98.5,0.4,85.4,0.7,98.4,0.5,88.4,-2.3,95.0,3.9
RE,afrinic,4,90.1,152,84.6,26,90.3,-0.2,79.3,5.3,86.8,3.3,82.4,2.2,82.6,7.5,76.0,8.6,86.9,3.2,80.0,4.6
RO,ripencc,1081,78.5,5293,71.0,690,65.8,12.7,38.0,33.0,64.4,14.1,24.9,46.1,52.9,25.6,94.5,-23.5,60.7,17.8,81.0,-10.0
RS,ripencc,198,80.2,1518,74.3,101,80.4,-0.2,74.1,0.2,79.9,0.3,73.3,1.0,74.5,5.7,78.8,-4.5,75.5,4.7,81.2,-6.9
RU,ripencc,5772,49.4,48552,64.5,3969,49.2,0.2,62.9,1.6,48.4,1.0,58.5,6.0,47.4,2.0,51.6,12.9,43.5,5.9,51.2,13.3
RW,afrinic,28,55.3,405,14.5,55,54.2,1.1,15.0,-0.5,55.6,-0.3,15.8,-1.3,55.4,-0.1,14.7,-0.2,37.2,18.1,21.9,-7.4
SA,ripencc,199,96.6,10646,85.5,6061,96.0,0.6,87.9,-2.4,95.7,0.9,97.0,-11.5,95.7,0.9,98.5,-13.0,94.9,1.7,91.5,-6.0
SB,apnic,11,83.7,49,80.0,5,85.4,-1.7,83.3,-3.3,85.4,-1.7,83.3,-3.3,85.4,-1.7,85.7,-5.7,83.7,0.0,80.0,0.0
SC,ripencc,87,82.0,4621,85.2,507,88.2,-6.2,91.6,-6.4,81.1,0.9,69.3,15.9,70.7,11.3,89.4,-4.2,69.2,12.8,41.5,43.7
SD,afrinic,11,42.0,591,70.0,20,42.4,-0.4,63.6,6.4,45.3,-3.3,55.6,14.4,45.8,-3.8,50.0,20.0,62.3,-20.3,40.0,30.0
SE,ripencc,869,61.5,6117,65.4,1342,59.4,2.1,64.4,1.0,57.6,3.9,63.1,2.3,58.0,3.5,59.4,6.0,40.9,20.6,52.9,12.5
SG,apnic,723,82.1,11760,73.1,3515,79.3,2.8,72.0,1.1,79.1,3.0,71.5,1.6,73.0,9.1,67.8,5.3,68.5,13.6,65.4,7.7
SH,ripencc,0,100.0,2,100.0,2,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
SI,ripencc,305,83.3,809,75.4,171,82.6,0.7,75.3,0.1,83.0,0.3,73.7,1.7,80.6,2.7,48.9,26.5,81.0,2.3,46.0,29.4
SK,ripencc,228,46.0,1427,71.3,195,44.5,1.5,69.8,1.5,45.6,0.4,71.9,-0.6,45.3,0.7,70.8,0.5,52.3,-6.3,64.3,7.0
SL,afrinic,22,57.7,97,57.1,7,55.1,2.6,66.7,-9.6,53.8,3.9,75.0,-17.9,53.2,4.5,66.7,-9.6,6.4,51.3,50.0,7.1
SM,ripencc,13,95.8,119,83.3,6,95.8,0.0,100.0,-16.7,96.6,-0.8,100.0,-16.7,83.2,12.6,100.0,-16.7,83.8,12.0,100.0,-16.7
SN,afrinic,18,78.9,370,94.7,19,79.4,-0.5,88.9,5.8,78.9,0.0,100.0,-5.3,77.1,1.8,92.3,2.4,1.4,77.5,90.6,4.1
SO,afrinic,22,76.2,181,85.2,27,60.1,16.1,79.3,5.9,52.9,23.3,82.8,2.4,19.8,56.4,22.2,63.0,13.0,63.2,60.0,25.2
SR,lacnic,6,99.1,423,94.6,74,99.1,0.0,94.7,-0.1,99.1,0.0,93.4,1.2,99.1,0.0,95.9,-1.3,99.7,-0.6,94.1,0.5
SS,afrinic,20,57.7,104,88.9,9,47.4,10.3,90.9,-2.0,51.5,6.2,88.9,0.0,45.2,12.5,71.4,17.5,40.0,17.7,71.4,17.5
ST,afrinic,2,83.3,36,66.7,3,5.4,77.9,75.0,-8.3,5.9,77.4,75.0,-8.3,0.0,83.3,66.7,0.0,0.0,83.3,50.0,16.7
SV,lacnic,49,93.4,1238,91.3,104,92.7,0.7,91.2,0.1,93.1,0.3,88.2,3.1,92.3,1.1,87.5,3.8,92.4,1.0,91.7,-0.4
SX,lacnic,3,77.4,62,100.0,7,77.4,0.0,77.8,22.2,79.4,-2.0,77.8,22.2,78.1,-0.7,77.8,22.2,75.0,2.4,71.4,28.6
SY,ripencc,15,73.1,576,100.0,7,66.5,6.6,100.0,0.0,66.7,6.4,100.0,0.0,57.9,15.2,87.5,12.5,46.8,26.3,83.3,16.7
SZ,afrinic,11,63.3,120,100.0,5,61.9,1.4,100.0,0.0,63.9,-0.6,100.0,0.0,61.5,1.8,100.0,0.0,44.8,18.5,100.0,0.0
TC,arin,2,33.3,48,13.3,15,33.3,0.0,18.8,-5.5,33.3,0.0,12.5,0.8,31.9,1.4,8.7,4.6,31.2,2.1,5.0,8.3
TD,afrinic,16,55.1,78,100.0,4,49.4,5.7,100.0,0.0,49.4,5.7,100.0,0.0,45.3,9.8,100.0,0.0,23.2,31.9,100.0,0.0
TG,afrinic,11,62.8,148,66.7,12,10.3,52.5,46.2,20.5,63.0,-0.2,53.8,12.9,57.3,5.5,87.5,-20.8,58.6,4.2,87.5,-20.8
TH,apnic,621,87.1,16699,88.3,1915,88.1,-1.0,59.0,29.3,85.8,1.3,58.7,29.6,64.7,22.4,88.6,-0.3,62.0,25.1,85.7,2.6
TJ,ripencc,41,40.6,313,55.2,29,36.9,3.7,47.8,7.4,35.2,5.4,50.0,5.2,26.6,14.0,66.7,-11.5,23.2,17.4,72.7,-17.5
TK,ripencc,3,69.2,13,33.3,6,69.2,0.0,33.3,0.0,71.4,-2.2,33.3,0.0,55.6,13.6,42.9,-9.6,55.6,13.6,100.0,-66.7
TL,apnic,21,70.6,109,86.4,22,70.1,0.5,87.0,-0.6,72.0,-1.4,87.0,-0.6,69.0,1.6,91.7,-5.3,67.1,3.5,91.3,-4.9
TM,ripencc,9,91.9,37,66.7,3,91.2,0.7,75.0,-8.3,91.2,0.7,80.0,-13.3,90.6,1.3,66.7,0.0,86.1,5.8,100.0,-33.3
TN,afrinic,26,0.8,1749,0.2,1611,0.8,0.0,0.2,0.0,0.8,0.0,0.2,0.0,0.7,0.1,0.2,0.0,0.4,0.4,1.2,-1.0
TO,apnic,5,100.0,36,100.0,5,96.3,3.7,100.0,0.0,93.1,6.9,100.0,0.0,96.2,3.8,100.0,0.0,95.8,4.2,100.0,0.0
TR,ripencc,1090,98.2,22844,96.5,4043,98.5,-0.3,97.7,-1.2,98.5,-0.3,97.8,-1.3,97.6,0.6,96.5,0.0,96.2,2.0,96.8,-0.3
TT,lacnic,16,91.8,413,63.0,108,53.6,38.2,63.1,-0.1,53.3,38.5,63.2,-0.2,53.2,38.6,60.7,2.3,51.6,40.2,35.4,27.6
TV,apnic,3,50.0,8,100.0,3,50.0,0.0,100.0,0.0,50.0,0.0,100.0,0.0,58.3,-8.3,100.0,0.0,11.1,38.9,100.0,0.0
TW,apnic,475,95.8,11757,93.9,1669,95.3,0.5,93.3,0.6,93.4,2.4,93.0,0.9,89.5,6.3,81.7,12.2,91.4,4.4,92.6,1.3
TZ,afrinic,116,35.2,1270,33.0,109,32.4,2.8,27.8,5.2,33.5,1.7,28.7,4.3,39.1,-3.9,29.5,3.5,38.6,-3.4,53.7,-20.7
UA,ripencc,2007,68.2,11802,77.1,1040,68.4,-0.2,74.3,2.8,68.2,0.0,74.6,2.5,66.5,1.7,63.3,13.8,59.2,9.0,56.1,21.0
UG,afrinic,59,49.1,756,89.9,89,45.0,4.1,75.5,14.4,41.6,7.5,74.7,15.2,40.2,8.9,78.8,11.1,30.5,18.6,66.0,23.9
US,arin,32515,51.0,303466,78.4,50940,48.0,3.0,77.1,1.3,45.8,5.2,76.1,2.3,39.7,11.3,68.9,9.5,33.6,17.4,62.3,16.1
UY,lacnic,45,87.1,1135,45.4,152,87.0,0.1,49.3,-3.9,87.2,-0.1,50.0,-4.6,86.9,0.2,53.8,-8.4,88.3,-1.2,57.6,-12.2
UZ,ripencc,129,72.6,700,86.2,58,77.8,-5.2,89.1,-2.9,77.1,-4.5,89.1,-2.9,75.7,-3.1,88.2,-2.0,51.4,21.2,45.5,40.7
VA,ripencc,4,100.0,6,80.0,5,100.0,0.0,100.0,-20.0,100.0,0.0,100.0,-20.0,83.3,16.7,83.3,-3.3,100.0,0.0,71.4,8.6
VC,arin,6,42.0,50,50.0,4,38.2,3.8,60.0,-10.0,38.5,3.5,100.0,-50.0,34.5,7.5,100.0,-50.0,32.7,9.3,33.3,16.7
VE,lacnic,257,95.0,4412,95.9,736,95.2,-0.2,95.3,0.6,87.5,7.5,93.5,2.4,77.6,17.4,95.9,0.0,83.9,11.1,93.4,2.5
VG,ripencc,47,45.8,288,75.6,135,44.0,1.8,74.4,1.2,45.2,0.6,63.0,12.6,50.0,-4.2,65.3,10.3,24.9,20.9,55.8,19.8
VI,arin,12,46.4,138,64.0,25,41.4,5.0,66.7,-2.7,35.9,10.5,57.1,6.9,50.4,-4.0,69.2,-5.2,3.2,43.2,90.5,-26.5
VN,apnic,1037,87.3,20557,97.8,9938,87.1,0.2,98.3,-0.5,87.8,-0.5,97.8,0.0,90.9,-3.6,98.4,-0.6,90.1,-2.8,98.2,-0.4
VU,apnic,13,91.7,60,94.1,17,91.7,0.0,94.1,0.0,91.7,0.0,93.8,0.3,95.1,-3.4,94.1,0.0,94.9,-3.2,83.3,10.8
WF,apnic,1,12.5,16,100.0,3,12.5,0.0,100.0,0.0,6.7,5.8,100.0,0.0,6.7,5.8,100.0,0.0,6.7,5.8,100.0,0.0
WS,apnic,10,88.5,61,100.0,4,88.1,0.4,100.0,0.0,88.1,0.4,100.0,0.0,88.1,0.4,100.0,0.0,86.2,2.3,100.0,0.0
YE,ripencc,6,75.7,181,92.9,14,72.8,2.9,92.9,0.0,77.7,-2.0,92.9,0.0,75.7,0.0,94.4,-1.5,76.4,-0.7,100.0,-7.1
YT,afrinic,1,73.1,26,100.0,12,72.7,0.4,100.0,0.0,77.4,-4.3,100.0,0.0,61.1,12.0,100.0,0.0,41.7,31.4,100.0,0.0
ZA,afrinic,748,67.2,13880,34.4,3440,64.7,2.5,29.6,4.8,57.7,9.5,36.0,-1.6,54.5,12.7,51.9,-17.5,43.9,23.3,59.8,-25.4
ZM,afrinic,22,49.1,330,100.0,26,48.3,0.8,90.9,9.1,47.5,1.6,80.0,20.0,37.0,12.1,84.6,15.4,53.1,-4.0,92.3,7.7
ZW,afrinic,28,50.2,482,13.4,142,47.6,2.6,10.3,3.1,41.1,9.1,9.2,4.2,40.2,10.0,52.0,-38.6,36.5,13.7,52.6,-39.2
