asn,name,cc,cone,verdict,apnic_score,dirty_feeds,total_feeds,atlas_result,apnic_stdev,apnic_min90,apnic_max90,regression
63126,Aptient Consulting Group Inc.,CA,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63125,Cablevision Lightpath LLC,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63124,"IgnitionOne, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63123,"Fareway Stores, Inc.",US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63122,LOGIX Data Products Inc.,CA,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63121,Cloud Propeller,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63120,"C & J Clark America, Inc.",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63119,Angelnet Limited,SC,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63118,New York State United Teachers,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63117,Churchill Downs Incorporated,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,6,,-1.0,-1.0,-1.0,False
63116,"Baker, Donelson, Bearman, Caldwell & Berkowitz, PC",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63115,Roto-Rooter Services Company,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63114,"Genesys Telecommunications Laboratories,Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63112,Service-now.com,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,3,,-1.0,-1.0,-1.0,False
63111,ACE INA HOLDINGS INC.,US,0,STUB: VULNERABLE,-1.0,2,5,,-1.0,-1.0,-1.0,False
63110,"Zuora, Inc",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63142,"LogicMonitor, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63141,Xactly Corporation,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63140,Iguana Worldwide,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63139,BEDGE CO LIMITED,US,0,STUB: VULNERABLE,0.0,2,3,,0.4,1.4,3.4,False
63138,Blue Shield of California,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,3,,-1.0,-1.0,-1.0,False
63137,"Dominion Diagnostics, LLC",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63136,SipRadius,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63135,"Tabor College, Inc.",US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63134,Developpement Innovations Haut-Richelieu,CA,0,REGRESSED,0.53,1,3,,32.3,0.3,100.0,True
63133,Lennon Telephone Company,US,0,STUB: VOLATILE,100.0,1,2,,1.3,95.6,100.0,False
63132,"Palmetto Primary Care Physicians, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63131,TNEXT Communication Inc,CA,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63130,National-Louis University,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63129,"AirRabbit, LLC",US,0,STUB: VULNERABLE,2.43,2,3,,-1.0,-1.0,-1.0,False
63128,"Strong Technology, LLC.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63127,TheMaple Inc.,CA,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63159,LINKNET TELECOMMUNICATIONS INC.,CA,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63158,La Harpe Communications INC.,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63157,DSW Information Technology LLC.,US,0,STUB: VULNERABLE,-1.0,2,3,,-1.0,-1.0,-1.0,False
63156,TEGNA Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63155,Digital Extremes Ltd,CA,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63154,Delaware County Community College,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63153,Stewart & Stevenson LLC,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63152,Cascade Communications Company,US,0,STUB: VULNERABLE,23.19,1,2,,-1.0,-1.0,-1.0,False
63151,The Children's Place,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63149,"ScienceLogic, Inc",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63148,Quick Technologies Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63147,United States Capitol Police,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63146,Wolf Creek Nuclear Operating Corporation,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63145,DFW-IX,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63144,"Macomb County, Michigan",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63143,Green Shoot Group LLC,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63176,"ACQUISIO WEB.COM, ULC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63175,Buffalo Studios,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63174,Blue Shield of California,US,0,STUB: VULNERABLE,-1.0,2,5,,-1.0,-1.0,-1.0,False
63173,"Netrouting, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63172,Venture Communications Cooperative,US,0,STUB: VULNERABLE,0.0,1,1,,-1.0,-1.0,-1.0,False
63171,Pasadena Independent School District,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63169,BMA MANAGEMENT SUPPORT CORPORATION,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63168,"T. Rowe Price Associates, INC.",US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63167,TEGNA Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63166,TEGNA Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63165,Clayton County Public Schools,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63164,TEGNA Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63163,"ESA Management, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63162,"Computer Technologies Group, Inc",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63161,SWAROVSKI NORTH AMERICA LIMITED,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63160,Kirkland & Ellis LLP,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63193,Atlanticare Health System Inc.,US,0,STUB: VULNERABLE,-1.0,3,3,,-1.0,-1.0,-1.0,False
63192,"TBI Airport Management, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63191,Wealthfront Corporation,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63190,"adMarketplace, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63189,"Andesa Services, Inc",US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63188,Visionary Communications LLC,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63187,eSited Solutions,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63186,Call One Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,0.9,97.3,100.0,False
63185,IQVIA Holdings Inc,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63184,Valley National Bank,US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63183,Ything LLC,US,0,STUB: VULNERABLE,-1.0,1,3,,-1.0,-1.0,-1.0,False
63182,"RapidScale, Inc",US,0,STUB: VULNERABLE,0.34,1,6,,-1.0,-1.0,-1.0,False
63181,St. Joseph Hospital,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63180,STS Tire & Auto Centers,US,0,STUB: VULNERABLE,-1.0,3,4,,-1.0,-1.0,-1.0,False
63179,Twitter Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63178,"Mid-Plains Rural Telephone Cooperative, Inc.",US,0,STUB: VULNERABLE,0.0,1,1,,-1.0,-1.0,-1.0,False
63210,FC2 Inc,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,4,,-1.0,-1.0,-1.0,False
63209,"KODIAK NETWORKS, INC.",US,0,STUB: VULNERABLE,-1.0,2,2,,-1.0,-1.0,-1.0,False
63208,Genvio Inc.,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63207,"Lakeshore Bone & Joint, Institute P.C.",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63206,INOVA Federal Credit Union,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63205,Elwood Union Free School District,US,0,STUB: VULNERABLE,-1.0,2,2,,-1.0,-1.0,-1.0,False
63204,The New Mexico Military Institute,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63203,Kansas City Internet eXchange,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63202,Taridium Canada,CA,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63201,"Coeo Solutions, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63200,Verizon Business,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63198,Jefferson County Sheriff's Office,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63197,"Continuity Focus, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63196,APEX INDUSTRIAL TECHNOLOGIES LLC,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63195,"Mike Gunther Industries, Inc",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63194,"Crashlytics, Inc",US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63227,"AT&T Services, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63226,LMX Labs LLC,US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63225,FreeConferenceCall.com,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63224,MarkWest Energy Partners LP,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63223,"Black Knight IP Holding Company, LLC",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63222,Carnival Corporation,US,0,STUB: VULNERABLE,-1.0,1,3,,-1.0,-1.0,-1.0,False
63221,"Community IX Holdings, Inc.",US,0,STUB: VULNERABLE,-1.0,3,3,,-1.0,-1.0,-1.0,False
63220,"SkyLink Data Centers, LLC.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63219,GovNET Inc,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63218,American Registry for Internet Numbers,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63217,Vistex Inc.,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,3,,-1.0,-1.0,-1.0,False
63216,Hype Enterprises,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63215,"Sound & Cellular, Inc.",US,0,STUB: VULNERABLE,-1.0,1,1,,-1.0,-1.0,-1.0,False
63214,Multi-State Lottery Association,US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,1,,-1.0,-1.0,-1.0,False
63212,Tahoe Internet Exchange (TahoeIX),US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63211,Norwegian Cruise Line Holdings Ltd.,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63243,Synergent,US,0,STUB: VULNERABLE,-1.0,2,3,,-1.0,-1.0,-1.0,False
63242,Metronet,US,0,STUB: VULNERABLE,0.05,1,1,,-1.0,-1.0,-1.0,False
63241,"Global Liquidity Partners, LLC",US,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
63240,OSNET,PR,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63239,"AT&T Services, Inc.",US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63238,"Upchurch Telecom & Data, Inc.",US,0,STUB: VULNERABLE,-1.0,1,2,,-1.0,-1.0,-1.0,False
63237,Udemy,US,0,NOT ROUTED,-1.0,0,0,,-1.0,-1.0,-1.0,False
63236,TTEK,CA,0,STUB: PASSIVE (Clean Pipe),-1.0,0,2,,-1.0,-1.0,-1.0,False
