asn,name,cc,rir,cone,verdict,has_real_aspa,declared_providers,inferred_upstreams,jaccard_overlap
61950,Nossa Telecom Telecomunicações Ltda,BR,lacnic,1,PARTIAL: VULNERABLE (Mixed),False,,13786;6939;262532,
61951,BRASIL-IP TELECOMUNICACOES LTDA - ME,BR,lacnic,1,REGRESSED,False,,6939;53181,
272829,TASKUS COLOMBIA SAS,CO,lacnic,0,STUB: PASSIVE (Clean Pipe),False,,10753,
61953,CLOUDEUS SL,ES,ripencc,0,STUB: VULNERABLE,True,62033,212895;34927,0.0
61955,ColocationIX GmbH,DE,ripencc,6,PARTIAL: VULNERABLE (Mixed),False,,7713;20485;50629;9002;174;6939;4637,
61956,TCC The Computer Company B.V.,NL,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,39686,
61957,Webguru VOF,NL,ripencc,0,NOT ROUTED,False,,,
61958,ASIST TELECOMMUNICATIONS SRL,RO,ripencc,0,STUB: VULNERABLE,False,,9050;12302,
61959,"PE ""MP Trade""",UA,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,62206;3326,
61960,INTERNOD LLC,RU,ripencc,0,STUB: VULNERABLE,False,,57304;9049;9002,
61961,"NELLICUS, LLC",US,arin,0,NOT ROUTED,True,6515;6939;40217;203939,,
61962,Sepahan Mapna Equipment Engineering and Manufacturing PJSC,IR,ripencc,0,NOT ROUTED,False,,,
61963,REVTON GENERAL TRADING L.L.C,AE,ripencc,0,STUB: VULNERABLE,False,,8455,
61964,Freedom LLC,RU,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,12389;31133,
272831,"NEW WORLD TELECOMMUNICATIONS NWT, SRLS",DO,lacnic,0,NOT ROUTED,False,,,
61967,telematis Netzwerke GmbH,DE,ripencc,0,STUB: VULNERABLE,True,25560;34309;44592;214915,44592;25560,0.5
61968,MIX Route Servers,IT,ripencc,0,NOT ROUTED,False,,,
61969,Team Internet AG,DE,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,174,
61970,Syselcom Mutuelle Informatique SA,CH,ripencc,0,STUB: VULNERABLE,False,,6730;25091;174,
61971,SarLink LLC,RU,ripencc,0,STUB: VULNERABLE,False,,9049,
61972,STIX Internet Ltd,GB,ripencc,0,NOT ROUTED,False,,,
61973,Netassist International EOOD,CZ,ripencc,0,NOT ROUTED,False,,,
61974,Lotus Net Company (Ltd.),IR,ripencc,0,NOT ROUTED,False,,,
61975,"""Global Net Technology"" AD",BG,ripencc,0,STUB: VULNERABLE,False,,29084,
61976,Selectel - Novosibirsk,RU,ripencc,0,STUB: VULNERABLE,False,,48858;210756;20485,
61977,Path Global UK Limited,GB,ripencc,0,NOT ROUTED,False,,,
61978,York UK Hosting Ltd,GB,ripencc,0,STUB: VULNERABLE,False,,35200;42831,
272834,ENERGIA DE ENTRE RIOS SOCIEDAD ANONIMA (ENER SA),AR,lacnic,0,STUB: PASSIVE (Clean Pipe),False,,52361;3356,
61980,STIS Engineering LLC,RU,ripencc,0,STUB: VULNERABLE,False,,3216,
61981,"KLFREE NETWORKS, s.r.o.",CZ,ripencc,0,NOT ROUTED,False,,,
272835,EMPRESA DE OBRAS SANITARIAS DE CALDAS S.A. EMPRESA DE SERVICIOS PUBLICOS PUDIENDO EMPLEAR LA EXPRESION ABREVIADA EMPOCALDAS S.A E.S.P.,CO,lacnic,0,NOT ROUTED,False,,,
61983,Instytut Meteorologii i Gospodarki Wodnej - Panstwowy Instytut Badawczy,PL,ripencc,0,STUB: VULNERABLE,False,,12741,
61984,Reseau Concept SARL,FR,ripencc,0,STUB: VULNERABLE,False,,64444,
61985,Suhoy Log Intersat Ltd.,RU,ripencc,0,STUB: VULNERABLE,False,,209307,
61986,Ivano-Frankivsk INFOCOM LLC,UA,ripencc,0,REGRESSED,False,,3255,
61987,affinis solutions GmbH,DE,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,50629,
61988,PE Roket.Net,UA,ripencc,0,NOT ROUTED,False,,,
61990,Vaisala Oyj,FI,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,20904,
61991,CJSC KRAUS-M,RU,ripencc,0,STUB: VULNERABLE,False,,3216;8595,
61992,Internet Identification Center Limited Liability Company,RU,ripencc,0,STUB: VULNERABLE,False,,8985;12389,
61993,Bluefin Payment Systems Austria GmbH,AT,ripencc,0,STUB: VULNERABLE,False,,48152;8447,
61995,AIRNET d.o.o. za telekomunikacije,HR,ripencc,0,STUB: VULNERABLE,False,,44306,
61996,ILLUSION NET EOOD,BG,ripencc,0,STUB: VOLATILE,False,,57344;199221,
272838,FIBERRED SAC,PE,lacnic,0,STUB: VOLATILE,False,,3356;21575,
61998,SzerverPlex.hu KFT.,HU,ripencc,0,STUB: VULNERABLE,False,,6939;29278,
61999,MOTIV IT MASTERS B.V.,NL,ripencc,0,NOT ROUTED,False,,,
62000,SERVERD SAS,FR,ripencc,41,REGRESSED,True,174;3257;5511;6204;6453;6461;9002;31561;39801;50263;50952;51706;137409,137409;13030;9002;208972;174;34927;6453;3257;6939;6461,0.35294117647058826
62001,Aphelion Consulting AB,SE,ripencc,0,STUB: VULNERABLE,False,,31216;3257;4455,
62002,Rissa Kraftlag SA,NO,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,25400,
62003,baten-lastendienst Logius,NL,ripencc,0,NOT ROUTED,False,,,
62004,LLC Virtualization Technology Center,RU,ripencc,0,STUB: VULNERABLE,False,,31200;20485,
62005,BlueVPS OÜ,EE,ripencc,0,STUB: VOLATILE,False,,7713;33891;20485;3303;5511;1257;9002;174;8849;42708;56630;6939,
62006,Unecha Television Network Ltd.,RU,ripencc,0,STUB: VULNERABLE,False,,20485;31133;8359,
62007,Retelit Digital Services S.p.A.,IT,ripencc,0,STUB: VULNERABLE,False,,28716,
62008,Cable Systems Ltd,RU,ripencc,0,STUB: VULNERABLE,False,,3216;12389,
62009,INFORMATICA SYSTEM S.R.L.,IT,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,6939;174,
62010,3DATA LLC,RU,ripencc,0,STUB: VULNERABLE,False,,29226;25227;201706,
62011,UNHfree.net z.s.,CZ,ripencc,0,STUB: VULNERABLE,False,,39392;6939;1764,
62012,Generali Osiguranje Srbija,RS,ripencc,0,STUB: VULNERABLE,False,,31042,
62013,Societatea Comerciala Click-COM SRL,MD,ripencc,4,REGRESSED,False,,15836;8772,
62014,Telegram Messenger - Singapore,VG,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,3491;9002;6762;174;1273;6939,
62015,BIN BG Ltd.,BG,ripencc,0,STUB: VULNERABLE,False,,31287,
62016,Virgin Media Limited,GB,ripencc,0,NOT ROUTED,True,5089,,
62017,Commercegate Ireland LTD,IE,ripencc,0,STUB: VULNERABLE,False,,12357,
62018,Techcrea Solutions SAS,FR,ripencc,0,NOT ROUTED,False,,,
272842,MUNICIPIO DE BUGA,CO,lacnic,0,STUB: VULNERABLE,False,,27845,
62020,Net Sat AB,SE,ripencc,0,STUB: VULNERABLE,False,,215551;3399,
62021,"Zayo Group, LLC",US,arin,0,STUB: PASSIVE (Clean Pipe),False,,3257;8220;6461,
62022,City of Espoo,FI,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,5405;16086,
62023,NYNEX satellite OHG,DE,ripencc,1,REGRESSED,False,,7713;33891;34309;20485;6939,
62024,SIHTASUTUS EESTI TERVISHOIU PILDIPANK,EE,ripencc,0,STUB: VOLATILE,False,,8240;2586,
62025,Komenda Glowna Panstwowej Strazy Pozarnej,PL,ripencc,0,STUB: VULNERABLE,False,,20804;15694,
62026,FINK TELEKOMUNIKASYON HIZMETLERI TICARET LIMITED SIRKETI,TR,ripencc,0,NOT ROUTED,False,,,
272844,ENNIA CARIBE LEVEN (ARUBA) N.V.,AW,lacnic,0,NOT ROUTED,False,,,
62028,Freie Netze Suedhessen e.V.,DE,ripencc,0,STUB: VULNERABLE,True,5405;34154;64475,34154;5405,0.6666666666666666
62029,Chamber of Commerce and Industry of the Russian Federation,RU,ripencc,0,STUB: VULNERABLE,False,,12389;8470,
62030,FRESENIUS MEDICAL CARE ROMANIA SRL,RO,ripencc,0,STUB: VULNERABLE,False,,9050;8708,
62031,Tomasz Gasior trading as Sownet,PL,ripencc,0,STUB: VULNERABLE,False,,6204;9141;29535,
62032,MILLENIUM PRO DESIGN SRL,RO,ripencc,0,STUB: VULNERABLE,False,,9050,
62033,CLOUDEUS SL,ES,ripencc,0,STUB: VULNERABLE,True,13287;16276;34927,16276;174;13287,0.5
62034,BGS DIVIZIA DE SECURITATE SRL,RO,ripencc,0,STUB: VULNERABLE,False,,34304;12310,
62035,Byteworks GmbH,CH,ripencc,0,STUB: VULNERABLE,False,,25091;33891;13030;9002;6939,
62036,IT Labs LLC,RU,ripencc,0,STUB: VULNERABLE,False,,9049;12389;8359,
62037,Transcard Financial Services EAD,BG,ripencc,0,STUB: VULNERABLE,False,,205132;8717,
62038,Orne THD SPL,FR,ripencc,0,STUB: PASSIVE (Clean Pipe),False,,41114,
62039,Iran Power Plant Projects Management (MAPNA) PJS,IR,ripencc,0,NOT ROUTED,False,,,
62040,Innovative Telecommunications LLC,RU,ripencc,0,STUB: VULNERABLE,False,,202984;208972;50509,
62041,Telegram Messenger - Europe,VG,ripencc,0,STUB: VULNERABLE,False,,12956;7713;3491;20485;5511;9002;6762;208972;174;34927;30844;1103;1273;6939;3356,
