asn,count,cone,name
60447,15,2,I NET BULGARIA EOOD
5091,15,1,"Stripe, Inc."
39855,15,1,Mod Mission Critical LLC
47583,15,1,Hostinger International Limited
147049,15,1,PacketHub S.A.
109,15,0,"CISCO SYSTEMS, INC."
400318,15,0,"Versa Networks, Inc."
14010,15,0,"Jack Henry & Associates, Inc."
12876,15,0,Scaleway
11414,15,0,Nvidia Corporation
62167,15,0,Tismi BV
13631,15,0,CITADEL ENTERPRISE AMERICAS LLC
62041,15,0,Telegram Messenger - Europe
3614,15,0,"Dell, Inc."
205080,15,0,SITA
6220,15,0,inContact Inc.
15084,15,0,Concentrix CVG Corporation
14907,14,1416,Wikimedia Foundation Inc.
1257,14,953,Tele2 Sverige AB
577,14,675,Bell Canada
6204,14,366,INTERKVM HOST SRL
17557,14,202,Pakistan Telecommunication Company Limited
37271,14,169,Workonline Communications(Pty) Ltd
24961,14,160,WIIT AG (fka. myLoc Managed IT AG)
52320,14,123,V.tal (GlobeNet)
29169,14,99,GANDI SAS
29049,14,65,Delta Telecom Ltd
11260,14,44,EastLink
49981,14,42,WorldStream B.V.
45629,14,36,JasTel Network International Gateway
9505,14,33,Taiwan Internet Gateway
25369,14,27,Hydra Communications Ltd
8674,14,26,Netnod AB
786,14,22,Jisc Services Limited
7843,14,19,Spectrum (Charter)
15943,14,18,wilhelm.tel GmbH
61461,14,18,Airtek Solutions C.A.
49666,14,15,Telecommunication Infrastructure Company
8657,14,15,MEO International Backbone
43440,14,11,Digitale Suisse AG
13101,14,10,TNG Stadtnetz GmbH
58807,14,9,China Mobile International Limited
18001,14,8,Dialog Axiata PLC.
132876,14,8,Symphony Communication (Thailand) PCL.
398704,14,7,STACKS INC
216265,14,6,ARISTO NETWORKS LTD
62955,14,4,"eBay, Inc"
13213,14,4,THG HOSTING LIMITED
5607,14,3,Sky UK
22995,14,3,Xplore Inc.
18978,14,3,Enzu Inc
36224,14,3,HCL AMERICA INC
60051,14,2,Earthlink Telecommunications Equipment Trading & Services DMCC
59711,14,2,HZ Hosting Ltd
21928,14,2,"T-Mobile USA, Inc."
200107,14,1,Kaspersky Lab Switzerland GmbH
40401,14,1,Backblaze Inc
13285,14,1,TalkTalk Communications Limited
204720,14,1,GLOBAL CLOUD NETWORK LLC
63981,14,1,Nova Technology Development (Hong Kong) Limited
4258,14,0,Accretive Networks
54253,14,0,Oracle Corporation
399647,14,0,Rumble USA Inc.
137922,14,0,IBOSS Inc.
25875,14,0,FriendFinder Networks Inc
7862,14,0,Chevron Corporation
43996,14,0,Booking.com BV
19239,14,0,KLA Corporation
137182,14,0,Blue Wireless PTE LTD
62713,14,0,"PubMatic, Inc."
20249,14,0,Jefferies LLC
50889,14,0,NVIDIA Ltd
8966,13,3180,Etisalat (E&)
37468,13,907,Angola Cables
17676,13,439,SoftBank Corp.
198949,13,206,Radware
36236,13,191,"NetActuate, Inc"
41327,13,167,Fiber Telecom S.p.A.
38193,13,134,Transworld Associates (Pvt.) Ltd.
6424,13,106,EDGOO NETWORKS
6206,13,100,Netrouting B.V.
15557,13,94,SFR SA
703,13,92,Verizon Business - APAC
5606,13,92,GTS Telecom SRL
42473,13,87,Anexia Cloud Solutions GmbH
35753,13,84,Etihad Salam Telecom CJSC
41313,13,55,"""NOVATEL"" EOOD"
8283,13,38,Netwerkvereniging Coloclue
45352,13,37,IP ServerOne Solutions Sdn. Bhd.
21013,13,35,eww ag
49127,13,33,Asimo Networks B.V.
1136,13,33,KPN B.V.
3327,13,32,CITIC Telecom CPC Netherlands B.V.
61599,13,29,EAI TELECOMUNICACOES LTDA
12615,13,26,Global Communication Net Plc
803,13,25,Saskatchewan Telecommunications
47794,13,24,Etihad GO Company For communications
62240,13,24,Clouvider Limited
3462,13,24,HiNet (Chunghwa Telecom)
56911,13,23,Warian S.R.L.
12200,13,21,Rackspace Hosting
9541,13,20,Cyber Internet Services (Pvt) Ltd.
30990,13,18,Djibouti Telecom SA
9044,13,18,BSE Software GmbH
48314,13,18,IP-Projects GmbH & Co. KG
200449,13,13,Qrator Labs CZ s.r.o.
3214,13,13,xTom GmbH
2611,13,12,BELNET
47447,13,12,23M GmbH
42184,13,11,TKRZ Stadtwerke GmbH
31477,13,10,Duocast B.V.
262287,13,10,Latitude.sh LTDA
20278,13,10,"Nexeon Technologies, Inc."
49453,13,10,Global Layer B.V.
48635,13,8,CLDIN B.V.
48266,13,7,Catixs Ltd
8365,13,7,Man-da.de GmbH
45014,13,6,Nuco Technologies Ltd
25818,13,6,CMC NETWORK (PTY) LTD
23154,13,6,Sanmina-SCI Corporation
20773,13,6,Host Europe GmbH
200612,13,5,Gulf Bridge International Inc.
26496,13,5,"GoDaddy.com, LLC"
6621,13,5,"Hughes Network Systems, LLC"
6823,13,5,3C1B Telekomunikasyon ve Internet Hiz. San. ve Tic. A.S.
6894,13,5,KDDI Europe Ltd
7155,13,4,"ViaSat,Inc."
8282,13,4,Bink Group Ltd
6619,13,3,SamsungSDS Inc.
63741,13,3,DCNET TELECOM
213452,13,2,PIO LLC
9584,13,2,Diyixian.com Limited
16164,13,2,Sohonet Limited
47764,13,2,LLC VK (Mail.ru)
16921,13,2,"Inteliglobe USA, Inc."
53334,13,2,"Total Uptime Technologies, LLC"
64096,13,1,"Internet Harbor International Co., Ltd."
21734,13,1,"Trading Technologies Intl, Inc."
212655,13,1,YouFibre Limited
24904,13,1,K-Net SAS
396253,13,0,"iboss,inc"
150436,13,0,Byteplus Pte. Ltd.
62597,13,0,IBM
21245,13,0,MEDIANOVA INTERNET HIZMETLERI VE TICARET ANONIM SIRKETI
1200,13,0,Amsterdam Internet Exchange B.V.
26450,13,0,CTDI
395359,13,0,InTouch Health
13821,13,0,AllianceBernstein L.P.
142005,13,0,"NC Taiwan Co., Ltd."
33619,13,0,"Advanced Micro Devices, Inc."
33425,13,0,"CoreWeave, Inc"
394161,13,0,"Tesla Motors, Inc."
12257,13,0,"Dell, Inc."
16758,13,0,"Ricoh USA, Inc."
