Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
274,3269,177,172,167
275,16509,175,218,127
276,20055,175,139,128
277,4787,175,149,139
278,150178,174,140,127
279,9009,172,235,142
280,8866,172,149,111
281,269096,171,138,131
282,39392,171,111,87
283,269194,171,128,118
284,24534,170,125,118
285,7015,170,157,155
286,8455,169,145,115
287,44324,169,144,110
288,37271,169,177,124
289,1680,167,189,141
290,11404,167,141,126
291,41327,167,182,137
292,52361,167,162,160
293,9050,167,177,140
294,30781,167,176,142
295,4764,166,140,130
296,5603,164,157,125
297,21574,164,133,102
298,34224,164,167,118
299,1820,163,153,112
300,21949,161,146,126
301,13649,161,167,161
302,12578,160,132,92
303,24961,160,144,77
304,268624,156,82,67
305,20001,155,152,146
306,2856,154,162,145
307,15694,153,151,121
308,4788,152,143,83
309,11427,151,138,135
310,44901,150,131,51
311,45903,150,154,96
312,55002,149,109,105
313,3215,148,121,117
314,18678,148,153,108
315,52573,147,123,114
316,40264,143,140,136
317,64315,141,115,100
318,17762,141,82,70
319,8551,141,161,111
320,33651,140,140,134
321,23005,140,143,137
322,199854,138,123,104
323,57463,138,146,55
324,33657,137,126,123
325,16019,137,104,92
326,33287,137,134,131
327,21497,134,120,82
328,7738,134,95,79
329,38193,134,122,72
330,33667,133,136,129
331,137366,133,111,103
332,13760,133,137,131
333,45147,133,89,76
334,12129,132,108,95
335,49581,132,112,84
336,45899,131,175,117
337,42020,131,107,104
338,58715,131,119,76
339,263444,130,87,52
340,58495,130,118,98
341,17378,129,146,126
342,28126,129,111,82
343,29838,128,130,58
344,17995,128,130,126
345,4761,127,149,112
346,38855,127,95,66
347,22356,126,116,54
348,270735,126,85,65
349,44066,124,128,52
350,17665,124,72,59
351,55685,124,115,84
352,2152,123,96,91
353,52320,123,94,40
354,8953,123,119,111
355,4775,123,178,116
356,33763,122,95,66
357,12400,122,145,98
358,8151,121,122,104
359,43754,121,87,84
360,4455,120,133,76
361,31287,118,128,95
362,11172,117,110,98
363,7552,117,133,101
364,6079,116,109,90
365,8400,116,119,84
366,7016,116,118,112
367,6855,116,117,106
368,262462,115,97,89
369,2907,113,108,96
370,138128,112,108,94
371,268696,111,91,78
372,8167,111,77,57
373,28343,111,94,82
374,138915,110,126,26
375,8434,109,129,61
376,9790,108,89,72
377,3292,107,128,99
378,10099,107,125,56
379,3301,107,106,102
380,37613,106,76,43
381,3209,106,98,85
382,6424,106,125,52
383,12357,105,93,91
384,28716,105,105,71
385,45117,105,87,80
386,34779,104,119,94
387,199599,103,100,87
388,9198,102,100,70
389,8772,102,115,83
390,2711,101,80,74
391,7470,100,99,90
392,56630,100,119,66
393,6206,100,130,41
394,53356,100,100,75
395,39737,99,124,90
396,29169,99,141,33
397,17408,99,89,64
398,2686,99,131,83
399,1267,98,118,78
400,63927,98,94,59
401,15895,98,102,75
402,11351,97,92,91
403,26615,97,77,45
404,4713,96,95,88
405,57821,96,102,76
